Project Name,Project Link,Objective,Principal Scientist,Scientist Affiliation,Dates,Location,Project Type,Cost,Grade Level,Time Commitment,How To Join,Description,Citizen Science Web Name,Citizen Science Web Link
Caribbean Storms 2017,https://www.scientificamerican.com/citizen-science/caribbean-storms-2017/,Analyze satellite images of areas stricken by Hurricane Irma and Hurricane Jose to help rescue workers pinpoint places needing assistance.,N/A,N/A,Ongoing,,Observation,Free,All Ages,Variable,Visit The Planetary Response Network to get started.,"The Zooniverse has been asked to enableThe Planetary Response Networkin response to Hurricane Irma,and now we need your help with rescue efforts in the Caribbean. Hurricane Irma has brought large-scale destruction to many islands over the last few days, and now Hurricane Jose is a growing threat in the same region.The project aims to rapidly assess pre- and post-hurricane satellite imagery to produce a heat map of urgent priorities for response teams. U.K. Disaster Risk Reduction and Response charity Rescue Global is deploying a team to the Caribbean to collect data on the ground. In partnership with the University of Oxford, the Planetary Response Network and Zooniverse, Rescue Global would like to obtain crowd-sourced ""heat map"" data of priorities from the Zooniverse community, to support their own aerial and ground reconnaissance.By analyzing satellite images of the stricken areas you can provide invaluable assistance to rescue workers in the Caribbean. Rescue Global are a UK-based disaster risk reduction and response charity who are deploying a team to the Caribbean and will use the information you provide to help them assess the situation on the ground.Planetary Response Network & Rescue Global is working to make as many images available as possible. Please keep a close eye on the project even if it runs out of data fast.",Scientific American,https://www.scientificamerican.com/citizen-science/
Zooniverse: Wildwatch Kenya,https://www.scientificamerican.com/citizen-science/zooniverse-wildwatch-kenya/,"Help researchers count, identify and track endangered giraffes in conservation field sites",David O'Connor,"Researcher in Global Partnerships at the Institute for Conservation Research, San Diego Zoo Global",Ongoing,,Data Processing,Free,All Ages,Variable,Register with Zooniverse and proceed to the Wildwatch Kenya project.,"Northern Kenya is a vast, varied and breathtakingly beautiful landscape, home to some of the most spectacular and important wildlife in East Africa. This is a place where wildlife, people, and livestock have co-existed for thousands of years. It’s also where you'll find the ""towers of the savanna,"" reticulated giraffes. They are one of Africa's most popular animals, and yet they are still little studied and not well understood. There is much to learn about these giraffes, but before we have even begun to delve into their mysteries, they are being threatened. It is now clear that they need conservation efforts to keep them from becoming extinct.One thing we do know, unfortunately, is that giraffes are in trouble. Across Africa, all giraffe populations have declined by about 40 percent, leading the IUCN Red List in December 2016 to officially list giraffes as “Vulnerable” to extinction. Our project focuses on the reticulated giraffe (Giraffa camelopardalis reticulata), and current estimates show that the population of these giraffes has declined by over 70 percent in the past 20 years—from 36,000 to less than 9,000 today. The main drivers behind the decline appear to be habitat loss and fragmentation, land degradation and poaching.Wildwatch Kenya seeks to count, identify and track the giraffes in conservation field sites, along with the other animals that share the habitat, to better understand the behavior, movements, and population numbers of the wildlife found here. Citizen scientists are being called to help researchers look through the tens of thousands of photos taken by trail cameras placed in strategic spots throughout the sites. The information gathered from these photos will help us and the local communities develop plans to help save these magnificent animals.",Scientific American,https://www.scientificamerican.com/citizen-science/
The Plastic Tide,https://www.scientificamerican.com/citizen-science/the-plastic-tide/,Help scientists figure out where the millions of tons of plastic entering our oceans every year ends up,"Peter Kohler, founder and director of The Plastic Tide",The Scientific Exploration Society and the Royal Geographical Society,Ongoing,,Data Processing,Free,All Ages,Variable,"Register at the Zooniverse Web site. Then use your computer or mobile device to analyze images in The Plastic Tide’s database for plastics and litter. Tag each piece of plastic you spot by drawing a rectangle around it on your screen and identify it as fragments, fishing line, drink bottles or some other type of plastic waste.","Estimates are currently at trillions of pieces and counting, with over 60 percent of the oceans being heavily contaminated with plastics. With each piece of plastic taking over 400 years to degrade, our oceans, all marine life, and even our own health and livelihoods are in real danger of drowning. Despite this and the 8 million tons of plastics entering our ocean each year, researchers can account for only one percent of that ends up: our ocean surface. Where is the missing 99 percent?The answer can be found on the seafloor, in marine life, and on our coastlines. The Zooniverse Plastic Tide citizen science project harnesses drone imagery from a series of beaches and the power of computer programs, or machine learning algorithms for the more technically minded, to eventually create a program that can autodetect, measure and monitor the levels of plastics and marine litter washing up on our beaches. Eventually helping us to track where plastics and litter go in our oceans, revealing where the missing 99 percent is in our ocean goes.By tagging plastics and litter in the images we take with our drone, citizen scientists directly teach our computer program to autodetect, measure and monitor plastics to help researchers answer how much of the missing 99 percent ends up on our beaches. The more you tag, the better the computer program gets at identifying plastics!",Scientific American,https://www.scientificamerican.com/citizen-science/
Citizen Endo,https://www.scientificamerican.com/citizen-science/citizen-endo/,Help researchers better understand endometriosis,"Noemie Elhadad, Associate Professor",Columbia University Department of Biomedical Informatics,Ongoing,,Questionnaire,Free,High/Secondary School,More than 5 hours,"To download the Phendo research app, visit Phendo on the iTunes store.
	Once downloaded, you will need to consent to participate in the study through the app.
	Women who suspect they have endometriosis or have already been diagnosed with endometriosis are eligible as participants (other eligibility criteria include being over 13 years old and having had at least one menstrual period).
	Anyone who has had at least one menstrual period in their lifetime is eligible to use the app as control participant.
	Use Phendo to record daily experience of endometriosis symptoms, or of daily life experience if participating as a control.","The Citizen Endo project is an active collaboration between women with endometriosis—a disorder in which tissue that normally lines the uterus grows outside the uterus—and researchers at Columbia University specializing in biomedical informatics.This collaboration has given rise to Phendo, an observational research app for endometriosis patients to track and manage their experience with the disease and for scientists to collect meaningful information about the disease.Participation in the Citizen Endo project means downloading the purpose-built mobile app and using this app to record either (1) your daily experience of endometriosis, or (2) your daily life experiences if you do not experience symptoms of endometriosis.GRADE LEVEL: 13 years and above	TIME COMMITMENT: Daily, for a minimum of 3 monthsThe science behind Citizen Endo:	The pathogenesis of endometriosis is still unclear. Clinical classification (histologic) of endometriosis doesn't correlate to patients’ experience of the disease, a gap the researchers aim to bridge through the citizen science project. They have two dual goals of capturing individual's experience of the disease for self management and then drawing together data from many individuals to describe the disease using data science techniques.More specifically, the researchers seek to phenotype endometriosis. A phenotype simply means a set of observable characteristics. In endometriosis, this can be the symptoms that we experience as patients such as endo belly, shooting leg pain, or exhaustion; biomarkers for the disease; or histology from tissue samples (like what you see on a pathology report after a laparoscopy). The Phendo app was built using Apple’s ResearchKit framework. The Phendo app is differentiated from other ResearchKit apps by capturing variables of a disease that is not well understood and for which phenotypes are still unclear.Citizen Endo is a project created by women with endometriosis, who happen to be data scientists and health researchers at Columbia University in New York.",Scientific American,https://www.scientificamerican.com/citizen-science/
Small World of Words,https://www.scientificamerican.com/citizen-science/small-world-of-words/,Help researchers discover how the meaning of words is stored in memory,Simon De Deyne/Gert Storms,"University of Adelaide, Australia/ University of Leuven, Belgium",Ongoing,,Questionnaire,Free,All Ages,Variable,"To participate, visit the Small World of Words Web site.","The Small World of Words project is a large-scale scientific study that aims to build a map of the human lexicon in the major languages of the world and make this information widely available. In contrast to a thesaurus or dictionary, this lexicon provides insight into what words and what part of their meaning are central in the human mind. The results enable psychologists, linguists, neuroscientists and others to test new theories about how the human brain represents and processes language.The project started in 2003 in theUniversity in Leuven's (Belgium) Experimental Psychology Department and has since built the largest available network of word associations in Dutch (more than 5 million responses) and English (more than 1 million responses). With the help of language researchers all over the world similar projects are now set up in many different languages. Such diversity allows researchers to compare these lexicons across the globe and further study how language and meaning are represented in the mind.In the latest version of the project, responses by participants are immediately integrated into the lexicon, so people can look up words they contributed to.",Scientific American,https://www.scientificamerican.com/citizen-science/
Sensory Info and Romantic Relationships,https://www.scientificamerican.com/citizen-science/sensory-info-and-romantic-relationships/,Researchers are looking for couples to participate in a study of the impact that sensory information has on romantic relationships,Alexis Grosofsky and Andreea Hrehorciuc-Caragea,Beloit College,"Tuesday, April 19, 2016 - Sunday, June 19, 2016",,Questionnaire,Free,18+ years old,Variable,Visit the survey page to participate.,Researchers at Beloit College in Wisconsin invite citizen scientists to participate in a study to investigate the impact of sensory information—such as how people perceive some of their primary romantic partner’s physical characteristics—on romantic relationships.The researchers also want to investigate the influence of time in the relationship. Previous studies only looked at initial attraction factors and not at how sensory influences might change over time. The goal is to see if the pattern of importance of sensory information stays consistent or changes over time.The survey takes about 10 minutes to complete.,Scientific American,https://www.scientificamerican.com/citizen-science/
IDAHO2O Master Water Stewards,https://www.scientificamerican.com/citizen-science/idaho2o-master-water-stewards/,Join this volunteer citizen scientist effort to collect basic water quality data for Idaho streams,Jim Ekins,Extension Faculty at University of Idaho Extension,Ongoing,Idaho - ,Fieldwork,Free,All Ages,Variable,"Visit IdaH2O.com or contact Jim Ekins, IdaH2O coordinator, at idah2o@uidaho.edu or 208-292-1287 for more information.","IDAH2O is a program to train citizen volunteers about regional water quality issues in the state of Idaho. Once a volunteer becomes a certified Master Water Steward, they then adopt a stream location to conduct regular monitoring on. Monitoring includes habitat, biological, chemical and physical assessments. All data collected from the Stewards is uploaded to a Web site that is made publicly available.The main focus of the program is to educate citizens on the status of their water quality and to help them understand the effects on streams, rivers and lakes. Youth involvement is also strongly encouraged. The data that is collected may also someday assist agencies in establishing water quality standards and priorities.To become a certified IDAH2O Master Water Steward, you must attend an 8-hour workshop. Workshops are daylong indoor and outdoor sessions that cover a wide variety of topics, such as starting a monitoring plan and how to network with local citizens interested in water quality. The program is offered through University of Idaho Extension to provide a unique opportunity to learn about and document regional water issues.IDAH2O is one of many citizen science projects available via the new CitizenScience.gov site, which the White House launched at its 6th White House Science Fair on April 14, 2016. CitizenScience.gov will serve as a new hub for citizen science and crowdsourcing initiatives in the public sector.",Scientific American,https://www.scientificamerican.com/citizen-science/
"Shelter Dog ""Rehoming"" Study Wants Your Help",https://www.scientificamerican.com/citizen-science/shelter-dog-rehoming-study-wants-your-help/,Citizen science project looking for pet owners for a study to help improve dog welfare,"Karen Griffin, PhD candidate in animal welfare and behavior",University of Lincoln School of Life Sciences,"Monday, March 28, 2016 - Tuesday, May 31, 2016",,Questionnaire,Free,All Ages,Variable,Visit the Dog Rehoming Project's Web site.,"How resilient are our canine friends, particularly those who’ve been dropped off at a shelter and then re-adopted? In an effort to improve quality of life for abandoned dogs, a Ph.D. candidate in animal welfare and behavior at the U.K.’s University of Lincoln School of Life Sciences is looking for pet-owner volunteers to help her study the role of behavioral flexibility in the success of shelter dog “rehoming.”The Dog Rehoming Project will assess behavior flexibility in two populations of dogs: 1) those who are part of shelters, rescue organizations, etc. who need to be rehomed, and 2) owned dogs who have been in the same family for at least three years. In order to assess behavioral flexibility, Karen Griffin has created a battery of game or puzzle-like tests that use items most people would already have around the house or shelter (e.g. cups, dog treats, chairs).",Scientific American,https://www.scientificamerican.com/citizen-science/
Help Stop TB,https://www.scientificamerican.com/citizen-science/help-stop-tb/,Become part of a global virtual supercomputer modeling and analyzing vulnerabilities in the tuberculosis bacterium,"Anna Croft, Associate Professor","University of Nottingham (UK), Engineering Department",Ongoing,,Data Processing,Free,All Ages,Variable,Visit IBM's World Community Grid and download an app to your PC or Mac,"Many people might think that Tuberculosis (TB) has been conquered, yet about one third of the globe's human population harbors TB today and 1.5 million people died from it in 2014, prompting the World Health Organization to rank TB alongside HIV as the world's deadliest infectious disease. Although several drugs and a partially effective vaccine have been developed to help combat TB, the TB bacterium can evolve to resist available medicine, particularly when patients interrupt or discontinue treatment. Nearly half of European cases are now resistant to at least one drug, and 4 percent of all cases worldwide are resistant to treatment regimens that combine drugs. HIV patients with weakened immune systems are approximately 30 times more likely to contract TB.The tuberculosis bacterium has a coating that shields it from many drugs and the patient's immune system. Among the fats, sugars and proteins in this coat are fatty molecules called mycolic acids. The Help Stop TB project will use the surplus computing power donated by IBM's World Community Grid members to simulate the behavior and chemical properties of mycolic acids to better understand how they protect the TB bacteria. Scientists hope to use the results to eventually develop better treatments for this deadly disease, particularly those that evade TB cell wall defenses.Citizen scientists can help researchers by signing their computer up for IBM's World Community Grid to become part of a crowdsourced, virtual supercomputer that performs millions of computations. These computationswill model aspects of tuberculosis bacteria behavior to better understand its potential vulnerabilities that new medicines may one day exploit. Volunteers make the processing power on their devices available when otherwise not being used—say, between keystrokes, during a coffee break, or overnight—to perform the calculations necessary for these simulations. Volunteers download an app from IBM's World Community Grid to their PC or Mac; it recognizes when the machine isn't being used and then it gets to work crunching numbers, automatically stopping when the machine is needed for normal use. It's safe, unobtrusive and puts otherwise wasted electric power to good use. Crowdsourcing a virtual supercomputer provides faster results than relying on conventional computational resources typically available to researchers.",Scientific American,https://www.scientificamerican.com/citizen-science/
Zooniverse: Jungle Rhythms,https://www.scientificamerican.com/citizen-science/zooniverse-jungle-rhythms/,"Help researchers better understand yearly flowering, seed dispersal, leaf shedding and recurring life cycle events of trees in the Congo’s tropical rainforest","Koen Hufkens, Ecologist",Harvard University,Ongoing,,Data Processing,Free,All Ages,Variable,,"The Jungle Rhythms project aims to transcribe hand-drawn observations of the life cycle events of more than 2,000 trees (of more than 500 different species) between 1937 and 1958 in the tropical rainforest of the Democratic Republic of the Congo. Recurring life cycle events (or phenology) of plants, such as yearly flowering, seed dispersal, and leaf shedding are key to understand plant functioning.Long-term observations of tropical trees are rare. The Jungle Rhythms observations comprise three decades of data on the central African tropical forest, and are therefore an extraordinary source of information on the life cycles of tropical trees. All of these weekly observations were jotted down in little notebooks and finally summarized in large hand-drawn tables. Jungle Rhythms will transcribe the summary tables in an effort to recover the key parts of this knowledge, which currently only exists on paper, and preserve the original copy.The nature of the notation used, mainly using fine hand-drawn pencil lines overlaying another fine gray line, make it really hard to process these images automatically. The human eye and brain is finely tuned to finding patterns and picking up these slight nuances in shading. At the end of the project annotations will be combined into a timeline of each trees' life cycle events and matched with weather data.",Scientific American,https://www.scientificamerican.com/citizen-science/
