Project Name,Project Link,Project Scope,Project Description,Project Goal,Project Full Description,Citizen Science Web Name,Citizen Science Web Link
LADA-UC3M,https://ciencia-ciudadana.es/proyecto-cc/lada-uc3m/,Cultura y Arqueología,"Es un laboratorio de ciencia ciudadana en el que tratamos difererentes materiales digitales relacionados con datos arqueológicos. Trabajamos con programas CAD para editar, vectorizar y analizar distintos formatos digitales de información arqueologíca
",Nuestro laboratorio pretende integrar a la comunidad ciudadana en la gestión digital y análisis de información arqueológica relacionado con diversos proyectos cientificos desarrollados por la Universidad Carlos III de Madrid,"Nuestro laboratorio pretende integrar a la comunidad ciudadana en la gestión digital y análisis de información arqueológica relacionado con diversos proyectos cientificos desarrollados por la Universidad Carlos III de MadridEs un laboratorio de ciencia ciudadana en el que tratamos difererentes materiales digitales relacionados con datos arqueológicos. Trabajamos con programas CAD para editar, vectorizar y analizar distintos formatos digitales de información arqueologíca
",Observatorio de la Ciencia Ciudadana en España,https://ciencia-ciudadana.es/proyecto-cc/
PAAM,https://ciencia-ciudadana.es/proyecto-cc/paam/,"Ciencias Sociales, Educación, Informática y Ciencias de la Computación, Medicina y Salud","El proyecto programa PAAM, tiene dos fases:
La primera trata de generar los procedimientos de evaluación “con autoridad” de las capacidades cognitivas (Atención, Percepción, Comprensión, Orientación, Razonamiento, Aprendizaje, …)  a considerar asociándolos a las actividades (ejercicios ad hoc, en forma de pasatiempos como crucigramas, sopas de letras, sudokus, solitario, mándalas, …) y ejercicios de entrenamiento en estimulación cognitiva con sus matices (tipo de actividad, frecuencia diaria, nivel de dificultad) y teniendo en cuenta la interacción entre ellas. Para ello es preciso contar con profesionales adecuados (psicólogos, psicólogos clínicos, neurólogos, psiquiatras, geriatras, …) para realizar esta tarea.
La segunda fase o de ejecución, consiste en aplicar estos procedimientos obtenidos de la primera fase en las personas objetivo (mayores de 50, solo en España cerca de 10 millones) para hacerles las recomendaciones (actividades) y seguimiento introduciendo en la base de datos los resultados obtenidos. Para ello es preciso acordar y coordinar con entidades que tengan un amplio desarrollo en el territorio (con instalaciones e infraestructuras) el llevar a cabo esta fase.
","El objetivo es llegar al máximo número de personas mayores de 50 años para crearles itinerarios de actividades (utilizando cuestionarios dinámicos basados en IA) con objeto de mantener o mejorar las capacidades cognitivas, haciendo un seguimiento regular para ajustar las estrategias y para crear una potente base de datos de gran interés para la investigación psicológica y neurocientífica.","El objetivo es llegar al máximo número de personas mayores de 50 años para crearles itinerarios de actividades (utilizando cuestionarios dinámicos basados en IA) con objeto de mantener o mejorar las capacidades cognitivas, haciendo un seguimiento regular para ajustar las estrategias y para crear una potente base de datos de gran interés para la investigación psicológica y neurocientífica.El proyecto programa PAAM, tiene dos fases:
La primera trata de generar los procedimientos de evaluación “con autoridad” de las capacidades cognitivas (Atención, Percepción, Comprensión, Orientación, Razonamiento, Aprendizaje, …)  a considerar asociándolos a las actividades (ejercicios ad hoc, en forma de pasatiempos como crucigramas, sopas de letras, sudokus, solitario, mándalas, …) y ejercicios de entrenamiento en estimulación cognitiva con sus matices (tipo de actividad, frecuencia diaria, nivel de dificultad) y teniendo en cuenta la interacción entre ellas. Para ello es preciso contar con profesionales adecuados (psicólogos, psicólogos clínicos, neurólogos, psiquiatras, geriatras, …) para realizar esta tarea.
La segunda fase o de ejecución, consiste en aplicar estos procedimientos obtenidos de la primera fase en las personas objetivo (mayores de 50, solo en España cerca de 10 millones) para hacerles las recomendaciones (actividades) y seguimiento introduciendo en la base de datos los resultados obtenidos. Para ello es preciso acordar y coordinar con entidades que tengan un amplio desarrollo en el territorio (con instalaciones e infraestructuras) el llevar a cabo esta fase.
",Observatorio de la Ciencia Ciudadana en España,https://ciencia-ciudadana.es/proyecto-cc/
Cities at Night,https://ciencia-ciudadana.es/proyecto-cc/cities-at-night-2/,"Biodiversidad, Ecología y Medioambiente, Espacio y Astronomía","Cities at Night nace en 2014 liderada por el dr. Alejandro Sánchez de Miguel. En sus estudios observa que los datos globales utilizados para medir ALAN proporcionados por el Programa de Satélites Meteorológicos de Defensa (DMSP) y el Conjunto de Radiómetros de Imágenes Infrarrojas Visibles (VIIRS), y que no fueron diseñados específicamente para la adquisición científica y sistemática de la luz nocturna, sino con fines meteorológicos, no son los mejores para extraer información cuando se quiere trabajar sobre la contaminación lumínica. Trabajar con estas fuentes tiene serias limitaciones: tienen baja resolución espacial (750m/pixel para VIIRS) y problemas de radiometría.
Alejandro se encontró con un desafío: proporcionar una fuente mucho más fidedigna donde investigadores e instituciones pudieran obtener datos para sus estudios donde relacionan la contaminación nocturna con sus campos. Utilizar las imágenes que los astronautas han ido tomando desde el transbordador espacial y posteriormente desde la Estación Espacial Internacional es la mejor solución. El problema es que a día de hoy no existen aplicaciones que permitan georreferenciar estas imágenes con fines de investigación, y por otro lado, no están calibradas.
Es aquí donde nace Cities at Night como Programa de Ciencia Ciudadana, pues necesitamos de la ayuda de los ciudadanos para localizar, etiquetar y calibrar la gran cantidad de imágenes disponibles, imágenes que con mayor frecuencia los investigadores están utilizando en sus estudios.
El Programa Cities at Night une en su desarrollo a Ciudadanos, Investigadores e Instituciones, donde el resultado final es la obtención de colecciones coherentes y calibradas de imágenes ópticas de la ISS: construyendo juntos el primer atlas nocturno realista en color verdadero que proporciona una visión global del mundo por la noche en color verdadero.
","A nivel mundial, la luz artificial nocturna (ALAN) está aumentando. Las estimaciones actuales indican una tasa de crecimiento del 2,2% anual como límite inferior. Su crecimiento rápido y no planificado de la luz durante la noche trae desafíos tales como: mayor contaminación lumínica, riesgos para la salud, desperdicio de recursos, infraestructura inadecuada y mayor vulnerabilidad de los ecosistemas. La importancia de un método eficaz de medición del crecimiento es fundamental para gestionar estos problemas y, por supuesto, desde una fuente robusta y fiable de datos nocturnos.
Cities at Night lidera esta misión, y gracias a la ciencia ciudadana, construir el primer mapa a color de la tierra por la noche. ¿Cómo?, tomando la mejor fuente pública de datos de teledetección nocturna, las imágenes de la ISS, donde los ciudadanos podrán localizar, etiquetar y georreferenciarlas.","A nivel mundial, la luz artificial nocturna (ALAN) está aumentando. Las estimaciones actuales indican una tasa de crecimiento del 2,2% anual como límite inferior. Su crecimiento rápido y no planificado de la luz durante la noche trae desafíos tales como: mayor contaminación lumínica, riesgos para la salud, desperdicio de recursos, infraestructura inadecuada y mayor vulnerabilidad de los ecosistemas. La importancia de un método eficaz de medición del crecimiento es fundamental para gestionar estos problemas y, por supuesto, desde una fuente robusta y fiable de datos nocturnos.
Cities at Night lidera esta misión, y gracias a la ciencia ciudadana, construir el primer mapa a color de la tierra por la noche. ¿Cómo?, tomando la mejor fuente pública de datos de teledetección nocturna, las imágenes de la ISS, donde los ciudadanos podrán localizar, etiquetar y georreferenciarlas.Cities at Night nace en 2014 liderada por el dr. Alejandro Sánchez de Miguel. En sus estudios observa que los datos globales utilizados para medir ALAN proporcionados por el Programa de Satélites Meteorológicos de Defensa (DMSP) y el Conjunto de Radiómetros de Imágenes Infrarrojas Visibles (VIIRS), y que no fueron diseñados específicamente para la adquisición científica y sistemática de la luz nocturna, sino con fines meteorológicos, no son los mejores para extraer información cuando se quiere trabajar sobre la contaminación lumínica. Trabajar con estas fuentes tiene serias limitaciones: tienen baja resolución espacial (750m/pixel para VIIRS) y problemas de radiometría.
Alejandro se encontró con un desafío: proporcionar una fuente mucho más fidedigna donde investigadores e instituciones pudieran obtener datos para sus estudios donde relacionan la contaminación nocturna con sus campos. Utilizar las imágenes que los astronautas han ido tomando desde el transbordador espacial y posteriormente desde la Estación Espacial Internacional es la mejor solución. El problema es que a día de hoy no existen aplicaciones que permitan georreferenciar estas imágenes con fines de investigación, y por otro lado, no están calibradas.
Es aquí donde nace Cities at Night como Programa de Ciencia Ciudadana, pues necesitamos de la ayuda de los ciudadanos para localizar, etiquetar y calibrar la gran cantidad de imágenes disponibles, imágenes que con mayor frecuencia los investigadores están utilizando en sus estudios.
El Programa Cities at Night une en su desarrollo a Ciudadanos, Investigadores e Instituciones, donde el resultado final es la obtención de colecciones coherentes y calibradas de imágenes ópticas de la ISS: construyendo juntos el primer atlas nocturno realista en color verdadero que proporciona una visión global del mundo por la noche en color verdadero.
",Observatorio de la Ciencia Ciudadana en España,https://ciencia-ciudadana.es/proyecto-cc/
FuenAragón,https://ciencia-ciudadana.es/proyecto-cc/fuenaragon/,"Biodiversidad, Ciencias de la Agricultura y Veterinaria, Clima y Meteorología, Ecología y Medioambiente, Educación, Gestión de Recursos Naturales, Naturaleza y Aire Libre, Océanos, Agua, Marino y Terrestre","El desarrollo del proyecto contaré con varias etapas:
1º.- Dar a conocer en qué consiste el proyecto a través de una página web e impactos en medios de comunicación y redes sociales.
2º.- Llamamiento a la participación y colaboración ciudadana a través de tres formas: como personas particulares, como asociaciones o pueblos y como centros educativos.
3º.- Identificar fuentes y manantiales a través de la app CitMapp.
4º.- Reparto de tiras medidoras de la calidad del agua para conocer el estado de las fuentes y manantiales.
5º.- Recogida de datos y difusión de resultados.
",El objetivo de FuenAragón es elaborar un mapa con las fuentes y manantiales naturales que existen en Aragón.,"El objetivo de FuenAragón es elaborar un mapa con las fuentes y manantiales naturales que existen en Aragón.El desarrollo del proyecto contaré con varias etapas:
1º.- Dar a conocer en qué consiste el proyecto a través de una página web e impactos en medios de comunicación y redes sociales.
2º.- Llamamiento a la participación y colaboración ciudadana a través de tres formas: como personas particulares, como asociaciones o pueblos y como centros educativos.
3º.- Identificar fuentes y manantiales a través de la app CitMapp.
4º.- Reparto de tiras medidoras de la calidad del agua para conocer el estado de las fuentes y manantiales.
5º.- Recogida de datos y difusión de resultados.
",Observatorio de la Ciencia Ciudadana en España,https://ciencia-ciudadana.es/proyecto-cc/
Laboratorio Ciudadano de Salud Urbana,https://ciencia-ciudadana.es/proyecto-cc/laboratorio-ciudadano-de-salud-urbana/,"Biodiversidad, Ecología y Medioambiente, Medicina y Salud, Transporte","La ciudadanía tiene un rol fundamental a la hora de pensar, crear y sostener las ciudades del futuro y garantizar el bienestar común. El laboratorio tiene como propósito crear comunidades de aprendizaje y de práctica, trabajando de forma colectiva para identificar necesidades, problemas e intereses, e impulsar ideas creativas que mejoren las condiciones de los barrios a través de la experimentación, el conocimiento compartido y la cultura científica.
En primer lugar, se busca identificar y comprender las principales problemáticas y necesidades del territorio a través de procesos de Ciencia Ciudadana con sensores medioambientales abiertos y cartografías colaborativas para la realización de un Diagnóstico Participativo. Posteriormente, se realiza una convocatoria abierta para acoger propuestas y soluciones ciudadanas, que después serán trabajadas de forma colaborativa desde las lógicas de la experimentación y el prototipado, utilizando laboratorios de fabricación digital o la Red de Ateneos de Fabricación, y priorizando el proceso frente al resultado, dando autonomía a los grupos para promover la continuidad de los proyectos. Por último, se trabaja en la puesta en común, la presentación y la explotación de los resultados para la sensibilización y la divulgación de los desafíos presentados. De forma transversal se considera en todo el proceso, la documentación de hechos y aprendizajes para la generación colectiva de conocimiento que posteriormente circule y pueda ser útil en otros contextos, bajo el principio de la cultura libre para poder ser copiada, distribuida , modificada y mejorada. Se abordarán diferentes disciplinas, como la ciencia, la tecnología y la innovación, el urbanismo, la arquitectura y el arte, estableciendo interrelaciones para generar soluciones.
","El Laboratorio de Salud Urbana es un espacio colaborativo de experimentación, aprendizaje y práctica para fomentar la participación comunitaria en la construcción de barrios más resilientes, saludables, sostenibles e inclusivos.","El Laboratorio de Salud Urbana es un espacio colaborativo de experimentación, aprendizaje y práctica para fomentar la participación comunitaria en la construcción de barrios más resilientes, saludables, sostenibles e inclusivos.La ciudadanía tiene un rol fundamental a la hora de pensar, crear y sostener las ciudades del futuro y garantizar el bienestar común. El laboratorio tiene como propósito crear comunidades de aprendizaje y de práctica, trabajando de forma colectiva para identificar necesidades, problemas e intereses, e impulsar ideas creativas que mejoren las condiciones de los barrios a través de la experimentación, el conocimiento compartido y la cultura científica.
En primer lugar, se busca identificar y comprender las principales problemáticas y necesidades del territorio a través de procesos de Ciencia Ciudadana con sensores medioambientales abiertos y cartografías colaborativas para la realización de un Diagnóstico Participativo. Posteriormente, se realiza una convocatoria abierta para acoger propuestas y soluciones ciudadanas, que después serán trabajadas de forma colaborativa desde las lógicas de la experimentación y el prototipado, utilizando laboratorios de fabricación digital o la Red de Ateneos de Fabricación, y priorizando el proceso frente al resultado, dando autonomía a los grupos para promover la continuidad de los proyectos. Por último, se trabaja en la puesta en común, la presentación y la explotación de los resultados para la sensibilización y la divulgación de los desafíos presentados. De forma transversal se considera en todo el proceso, la documentación de hechos y aprendizajes para la generación colectiva de conocimiento que posteriormente circule y pueda ser útil en otros contextos, bajo el principio de la cultura libre para poder ser copiada, distribuida , modificada y mejorada. Se abordarán diferentes disciplinas, como la ciencia, la tecnología y la innovación, el urbanismo, la arquitectura y el arte, estableciendo interrelaciones para generar soluciones.
",Observatorio de la Ciencia Ciudadana en España,https://ciencia-ciudadana.es/proyecto-cc/
Biologia/Geologia aplicada a la identidad territorial,https://ciencia-ciudadana.es/proyecto-cc/biologia-geologia-aplicada-a-la-identidad-territorial/,"Animales, Biodiversidad, Biogeografía, Ciencia de los Alimentos, Ciencias Químicas, Ciencias Sociales, Clima y Meteorología, Ecología y Medioambiente, Educación, Geografía, Geología y Ciencias de la Tierra, Informática y Ciencias de la Computación, Insectos y Polinizadores, Naturaleza y Aire Libre, Océanos, Agua, Marino y Terrestre, Transporte","Partiendo de los valores objetivos apreciables (relieve, recursos hídricos, biodiversidad, clima...) ver como éstos han penetrado en la estructura cognitiva y cosmovisión de los ciudadanos/as valencianos.
",Es el proyecto anual de nuestro colegio. Perseguimos la toma de conciencia de la singularidad de los territorios y paisajes valencianos y cómo éstos han determinado la cosmovisión histórica de los habitantes,"Es el proyecto anual de nuestro colegio. Perseguimos la toma de conciencia de la singularidad de los territorios y paisajes valencianos y cómo éstos han determinado la cosmovisión histórica de los habitantesPartiendo de los valores objetivos apreciables (relieve, recursos hídricos, biodiversidad, clima...) ver como éstos han penetrado en la estructura cognitiva y cosmovisión de los ciudadanos/as valencianos.
",Observatorio de la Ciencia Ciudadana en España,https://ciencia-ciudadana.es/proyecto-cc/
URBANOME – URBANLAB-MAD,https://ciencia-ciudadana.es/proyecto-cc/urbanome-urbanlab-mad/,"Ciencias Sociales, Ecología y Medioambiente, Medicina y Salud, Naturaleza y Aire Libre, Transporte","1.	Creación de laboratorio ciudadano y creación del partenariado inicial implicado en el mismo (stakeholders).
2.	Lanzamiento de convocatorias de recogida de propuestas.
3.	Evaluación y selección de las propuestas.
4.	Planificación de las propuestas seleccionadas en un entorno cooperativo
5.	Evaluación junto a los stakeholders de la planificación discutida durante el laboratorio para evaluar la disponibilidad de medios y recursos para poner en marcha las acciones propuestas.
6.	Información a los ciudadanos de los resultados de esta evaluación.
7.	Realización de las acciones.
","URBANOME es un proyecto de 4 años que se centra en áreas de investigación relacionadas con el clima, el medio ambiente y sus interacciones con la salud y el bienestar en entornos urbanos.
En este sentido, el objetivo general de URBANOME es promover la salud, el bienestar y la habitabilidad urbana mediante la integración de las cuestiones de salud en las políticas urbanas y en los hábitos de los ciudadanos; todo ello basado en evidencias detalladas y completas sobre los determinantes de la salud ambiental, la distribución espacial de los ciudadanos y su impacto, considerando también sus diferentes estilos de vida y comportamientos.","URBANOME es un proyecto de 4 años que se centra en áreas de investigación relacionadas con el clima, el medio ambiente y sus interacciones con la salud y el bienestar en entornos urbanos.
En este sentido, el objetivo general de URBANOME es promover la salud, el bienestar y la habitabilidad urbana mediante la integración de las cuestiones de salud en las políticas urbanas y en los hábitos de los ciudadanos; todo ello basado en evidencias detalladas y completas sobre los determinantes de la salud ambiental, la distribución espacial de los ciudadanos y su impacto, considerando también sus diferentes estilos de vida y comportamientos.1.	Creación de laboratorio ciudadano y creación del partenariado inicial implicado en el mismo (stakeholders).
2.	Lanzamiento de convocatorias de recogida de propuestas.
3.	Evaluación y selección de las propuestas.
4.	Planificación de las propuestas seleccionadas en un entorno cooperativo
5.	Evaluación junto a los stakeholders de la planificación discutida durante el laboratorio para evaluar la disponibilidad de medios y recursos para poner en marcha las acciones propuestas.
6.	Información a los ciudadanos de los resultados de esta evaluación.
7.	Realización de las acciones.
",Observatorio de la Ciencia Ciudadana en España,https://ciencia-ciudadana.es/proyecto-cc/
REC-LIT,https://ciencia-ciudadana.es/proyecto-cc/rec-lit/,Educación,"1-Hemos formado a tres grupos de voluntarios de la Universidad para Mayores de la Universidad Complutense (https://www.ucm.es/mayores): primero, mostrando los cambios que se han producido en la investigación  en literatura gracias a la digitalización y  a la utilización de herramientas digitales; después en el uso de determinadas herrarmientas
2- Los mayores han leído novelas en busca de marcas de nuestra era postdigital y han anotado  de forma digital a través de una herramienta de anotación.
3- Hemos realizado Jornadas para poner en común nuestras experiencias
","REC-LIT es un proyecto interdisciplinar de investigación teórica y aplicada para la era post-digital, post-global y post-data. Se centra en las estrategias y modelos de reciclaje de los textos literarios en el hipermedia, así como en las posibilidades de reapropiación de lo textual-literario cuando ya estudiantes y usuarios todos han tomado como marco de referencia cultural los productos del hipermedia. En particular, durante nuestro trabajo con los ciudadanos de la Universidad  para Mayores de la Universidad Complutense, hemos buscado marcas de la era postdigital en la que vivimos  dentro de novelas contemporáneas.","REC-LIT es un proyecto interdisciplinar de investigación teórica y aplicada para la era post-digital, post-global y post-data. Se centra en las estrategias y modelos de reciclaje de los textos literarios en el hipermedia, así como en las posibilidades de reapropiación de lo textual-literario cuando ya estudiantes y usuarios todos han tomado como marco de referencia cultural los productos del hipermedia. En particular, durante nuestro trabajo con los ciudadanos de la Universidad  para Mayores de la Universidad Complutense, hemos buscado marcas de la era postdigital en la que vivimos  dentro de novelas contemporáneas.1-Hemos formado a tres grupos de voluntarios de la Universidad para Mayores de la Universidad Complutense (https://www.ucm.es/mayores): primero, mostrando los cambios que se han producido en la investigación  en literatura gracias a la digitalización y  a la utilización de herramientas digitales; después en el uso de determinadas herrarmientas
2- Los mayores han leído novelas en busca de marcas de nuestra era postdigital y han anotado  de forma digital a través de una herramienta de anotación.
3- Hemos realizado Jornadas para poner en común nuestras experiencias
",Observatorio de la Ciencia Ciudadana en España,https://ciencia-ciudadana.es/proyecto-cc/
La Digitalizadora de la Memoria Colectiva,https://ciencia-ciudadana.es/proyecto-cc/la-digitalizadora-de-la-memoria-colectiva/,"Ciencias Políticas, Ciencias Sociales, Cultura y Arqueología, Educación, Informática y Ciencias de la Computación","La Digitalizadora de la Memoria Colectiva surge en 2019 como una iniciativa ciudadana que tiene como objetivo localizar, digitalizar, describir, enriquecer, difundir y conservar grabaciones audiovisuales, en formatos  ya obsoletos (super 8, Betacam, VHS, Hi 8, DVCAM…).
Su archivo contiene colecciones que documentan la actividad de movimientos sociales, experiencias comunitarias y momentos de la vida cotidiana de un pasado reciente (desde la década de 1970). Imágenes y sonidos  “atrapados” en soportes que se están deteriorando progresivamente y corren el riesgo de desaparecer si no se actúa pronto.
Como complemento a dicha labor, La Digitalizadora también reactiva las imágenes y produce contenidos derivados con el objetivo de recuperar, reconocer y preservar la memoria común e historia colectiva a través de la participación ciudadana y la implicación de sus protagonistas.
",Contribuir de forma participativa a conservar la memoria audiovisual de los movimientos sociales y reconocer la Memoria Colectiva como parte de una perspectiva plural de la Historia.,"Contribuir de forma participativa a conservar la memoria audiovisual de los movimientos sociales y reconocer la Memoria Colectiva como parte de una perspectiva plural de la Historia.La Digitalizadora de la Memoria Colectiva surge en 2019 como una iniciativa ciudadana que tiene como objetivo localizar, digitalizar, describir, enriquecer, difundir y conservar grabaciones audiovisuales, en formatos  ya obsoletos (super 8, Betacam, VHS, Hi 8, DVCAM…).
Su archivo contiene colecciones que documentan la actividad de movimientos sociales, experiencias comunitarias y momentos de la vida cotidiana de un pasado reciente (desde la década de 1970). Imágenes y sonidos  “atrapados” en soportes que se están deteriorando progresivamente y corren el riesgo de desaparecer si no se actúa pronto.
Como complemento a dicha labor, La Digitalizadora también reactiva las imágenes y produce contenidos derivados con el objetivo de recuperar, reconocer y preservar la memoria común e historia colectiva a través de la participación ciudadana y la implicación de sus protagonistas.
",Observatorio de la Ciencia Ciudadana en España,https://ciencia-ciudadana.es/proyecto-cc/
Bosque Anouk – Ecos de la Tierra,https://ciencia-ciudadana.es/proyecto-cc/bosque-anouk-ecos-de-la-tierra/,"Animales, Cultura y Arqueología, Culturas Indígenas, Ecología y Medioambiente, Educación, Geografía, Gestión de Recursos Naturales, Naturaleza y Aire Libre, Pájaros, Sonido","A través de la ciencia ciudadana queremos que toda persona pueda ser investigador/a en este proyecto y aporten sus conocimientos a través de la recopilación de datos (localización de instrumentos creados a mano por antepasados usados en el pastoreo y otras actividades relacionadas con el campo y los animales; localización de instrumentos o fragmentos en espacios como centros de interpretación, museos, centros etnográficos clasificados como tal o no clasificados).
Tras la recopilación de información, analizaremos los datos obtenidos y trazaremos conexiones y patrones (qué instrumentos se encuentran con mayor frecuencia o se conservan en mejor estado tras el paso del tiempo, su clasificación, su tipo de uso, sus materiales...).
Recrearemos manualmente esos instrumentos junto a la comunidad (talleres, charlas, concierto...) a través del binomio enseñanza-aprendizaje, de modo que sirvan para su incorporación a la didáctica musical.
Recrearemos el paisaje sonoro de este territorio en diversos formatos (sonoro, visual, arte textil, instalación artística...) para que la cultura recupere el sonido de su historia.
",La recreación y recuperación de instrumentos musicales cerámicos desde la Protohistoria hasta la Edad Media para incorporarlos a la didáctica musical.,"La recreación y recuperación de instrumentos musicales cerámicos desde la Protohistoria hasta la Edad Media para incorporarlos a la didáctica musical.A través de la ciencia ciudadana queremos que toda persona pueda ser investigador/a en este proyecto y aporten sus conocimientos a través de la recopilación de datos (localización de instrumentos creados a mano por antepasados usados en el pastoreo y otras actividades relacionadas con el campo y los animales; localización de instrumentos o fragmentos en espacios como centros de interpretación, museos, centros etnográficos clasificados como tal o no clasificados).
Tras la recopilación de información, analizaremos los datos obtenidos y trazaremos conexiones y patrones (qué instrumentos se encuentran con mayor frecuencia o se conservan en mejor estado tras el paso del tiempo, su clasificación, su tipo de uso, sus materiales...).
Recrearemos manualmente esos instrumentos junto a la comunidad (talleres, charlas, concierto...) a través del binomio enseñanza-aprendizaje, de modo que sirvan para su incorporación a la didáctica musical.
Recrearemos el paisaje sonoro de este territorio en diversos formatos (sonoro, visual, arte textil, instalación artística...) para que la cultura recupere el sonido de su historia.
",Observatorio de la Ciencia Ciudadana en España,https://ciencia-ciudadana.es/proyecto-cc/
